sentence1,sentence2,label
"哪位亲有东方神起塞班岛的写真辑啊？","这张图是东方神起在哪里的写真",0
"石家庄天气如何？","石家庄天气怎样",1
"中国哪里的地方最美","中国最美丽的地方再那里",1
"追女孩该怎么追？","追女孩要怎么追",1
"高中数学问题，数列","高中数学，数列问题。",1
"劝告你不听是什么成语","只要不听劝告是什么成语带一的",1
"支付宝为什么不能实名认证","为什么不能支付宝实名认证？",1
"小尾巴怎么设置","贴吧里的小尾巴怎么设置？",1
"麻烦您点击链接看看的，辛苦您了。","您点击账户通-我的银行卡-添加就可以的，辛苦您了。",0
"罗志祥的发型叫什么","罗志祥的发型叫什么？",1
"红豆薏米粥减肥靠谱吗","红豆薏米粥能减肥吗",1
"大写的万字，怎么写？","大写万字怎么写？",1
"网易新闻和腾讯新闻哪个强","腾讯新闻和网易新闻哪个好",1
"这边给您发送，您从新操作一下可以吗？","您好，您的这个红包是只能在这个给您发送红包的商家使用的，麻烦了。",0
"游戏王混沌力量城之内篇全卡下载","游戏王之混沌力量-城之内篇汉化版",0
"苹果手机怎么截图啊","苹果手机怎么截图？",1
"张翰和郑爽是为什么分手？！﹏","张翰和郑爽为什么分手",1
"上海哪里有卖纹身","上海哪里洗纹身好",0
"你们心目中的女神什么样？","你们心目中的女神是怎样的？",1
"头发干燥怎么办？发质很差。","发质差怎么办，而且很毛躁？",0
"月经期可以喝中药吗","酸奶加红糖怎么喝才能减肥",0
"喝绿茶有什么好处！","喝绿茶有什么好处？",1
"微信公众平台怎么盈利？","微信公众平台如何盈利？",1
"描写水的四字词语","含反义词的四字词语",0
"淘宝的拍卖保证金","淘宝拍卖保证金",1
"求《天空之城》吉他谱！六线谱，简单点","求《天空之城》原版吉他谱",0
"去哪儿网特价机票怎样订","去哪儿特价机票",1
"明天上海天气怎么样","明天上海天气怎么样。",1
"湖北生态工程职业技术学院好不好？","湖北生态工程职业技术学院的环境怎么样？",0
"辛苦您把页面截图一下，谢谢。","感谢您的耐心等待，麻烦您把收银台付款页面截图提供下，辛苦您了。",0
"手机铃声怎么下载","手机铃声怎样下载",1
"如没有其他的问题小二这边就不打扰您了","好的，请问需要帮您一并清空安保问题的吗？",0
"老版本的天天酷跑怎么下载","怎样下载天天酷跑老版本",1
"怎样可以让肚子变小？","怎样让肚子变小？",1
"蜡烛的英语单词怎么读音标是什么","怎么看音标把英语单词读出来啊",0
"您说下时间哦","排队时间在1分钟足有",0
"大陆女明星谁最漂亮？","大陆女明星谁最漂亮",1
"容易的易还可以组什么词？","养什么鱼不容易死？",0
"时空猎人腾讯版怎么刷龙影","时空猎人腾讯版怎么刷vip",1
"白猫计划怎么退出公会？","DNF公会升级怎么不送东西",0
"现在来说什么行业最挣钱？","现在什么行业最挣钱？",1
"黑人生殖器为什么那么长","黑人的生殖器为什么那么长",1
"现在做淘宝还能挣钱吗","现在开淘宝店，还挣钱吗",1
"怎么查通话记录","怎么查别人通话记录",1
"梦见抱小女孩","梦见抱别人小小女孩",0
"小青蛙过河怎么","小青蛙过河怎样过",1
"分式的运算一","分式的运算！",1
"我老婆偷人了我该怎么办","老婆偷人我该怎么办！",1
"芜湖职业技术学院和安徽财贸职业学院哪个好？","安徽职业技术学院和安徽财贸职业学院哪个好?",0
"唐诗宋词元曲和什么的？","唐诗宋词元曲汉什么",1
"头晕胸闷恶心是什么病","头晕胸闷犯恶心是什么病",1
"自己的提问怎么删除","怎么删除自己发的提问",1
"黑白的情侣头像","情侣头像黑白类",1
"您好，邮件会通知您的。辛苦您等待下","辛苦您等待下的，辛苦您了。",0
"什么牌子的小米粉好？","什么牌子的米粉好",0
"男科疾病有哪些？","世界遗产有哪些？",0
"怎样保护青蛙","保护青蛙怎么样",0
"朋友过生日唱什么歌","朋友过生日送他什么歌",0
"山西工商学院怎么样","山西工商学院怎么样？",1
"北京烤鸭在哪","关于北京烤鸭",1
"这个人物出自哪部动漫？","这个人物出自哪部动漫",1
"微信表情都代表什么意思","微信表情代表什么意思",1
"女孩子叫我欧巴是什么意思","很要好的女生叫我爸爸…这是什么意思？",0
"幸福花园的全集动漫谁有呀","谁有幸福花园动漫全集？",1
"微信听筒模式怎么关","微信怎么改听筒模式",1
"最果ての神狐的种子。","跪求あずみ恋迅雷种子",0
"老公过生日做什么菜怎么样","男朋友生日做什么菜好",0
"很讨厌一个人","韩国人很讨厌日本人吗",0
"天上的小白羊，指的是什么？","天上的小白羊，指的是什么",1
"你表情搞笑吗？","找一些搞笑的表情",0
"求幸福花园全集下载","求幸福花园全集下载。、",1
"宝宝喝什么奶粉比较好","给宝宝喝什么奶粉比较好？",1
"“客观”“主观”分别是什么意思？","主观与客观分别是什么意思",1
"你喜欢什么星座的","喜欢什么星座男",0
"这是什么牌子香水","这是哪个牌子的香水",1
"东莞哪里有草莓园","东莞哪里有草莓场？",1
"思春是什么意思嘛","思春是什么意思？",1
"什么海鲜好吃？","什么海鲜好吃啊",1
"秦始皇是哪个朝代的","秦始皇是哪个朝代的？",1
"什么是安徽的简称","安徽简称什么？",1
"陈坤和赵薇怎么了","陈坤赵薇怎么了",1
"买理财产品有风险吗","买理财有风险吗",1
"推荐几个下载电影的网站","可下载的电影网站推荐",1
"填成语看图片","这个图片的成语",1
"紧的偏旁是什么","汞是由汞分子组成的对吗",0
"今天七夕你们怎么过？","今天七夕你们怎么过的",1
"如何做生意赚钱…？啊","怎样做生意才会赚钱呢",1
"百度上的财富值有什么用","百度财富值有什么用啊?",1
"谁知道这图片叫什么？","谁有这个图片或者知道她是谁",0
"怎么用手机下载日语输入法","手机日语输入法下载",0
"夏天吃什么水果可以排毒","夏天吃什么水果能起到减肥的功效呢",0
"灰太狼的梦想是什么呢","灰太狼的梦想是什么",1
"做会计在房地产与制造业哪个好？","在外贸公司做会计好还是房地产作会计好？",0
"百度一下你不知道","百度一下你就知道是谁说的",0
"我家兔子是不是怀孕了?","我家兔子怀孕后摸不到胎儿",1
"是的呢，请您以页面的显示为准的","请您到时以页面的显示为准的",1
"是已经在催了","请您放心，资金已经退回给您了",0
"我的减肥方法正确吗？","谁能给我搭配正确的减肥方法",0
"电脑重装系统要多少钱？","手机屏幕破了，换个多少钱，贵吗",0
"有什么电影可以介绍吗","有新电影介绍吗",1
"天天酷跑怎么刷积分？","天天酷跑怎样刷积分？",1
"马叉虫是什么意思！","马叉虫什么意思！",1
"葫芦侠怎么使用","葫芦侠怎么使用？",1
"求音乐：世界不是我们的家","求音乐：巴啦啦歌曲",0
"茶杯犬难养吗？买一只大约多少钱？","茶杯犬合肥哪里有卖的？多少钱一只？",0
"怎么样才能让自己变得有力气","怎么样才能让自己更强壮，更有力气",1
"微信怎么设置头像","微信头像如何设置",1
"帮忙取个名字。","帮忙取个名字，",1
"冬季奥运会是从哪一年开始举办的？","冬季奥运会圣火采集仪式是从哪一年开始的？",0
"苹果手机怎么买天天酷跑的钻石啊","苹果手机怎么买天天酷跑钻石",1
"射精快是什么原因？","射精快是什么原因",1
"求推荐好看的电影","求推荐好看的电影！",1
"北京的丰台区是不是北京最乱的地方？","北京有什么地方买鸟啊?最好是东城的",0
"娶什么样的女人做老婆最好？","什么样的女人做老婆最好？",1
"竖式乘法验算。","竖式和乘法验算",1
"哪个输入法好用？","输入法哪个好用？",1
"为什么别人打不通我的手机","怎么让别人打不通我的手机",1
"南方和北方哪个好","我的南方与北方",0
"那里有植物大战僵尸卖","植物大战僵尸在哪里下？",0
"什么呼应什么的成语","成语啥个相呼应",0
"重生鸿蒙类小说","重生鸿蒙类小说、",1
"怎样在网上买电影票","如何在网上买飞机票",1
"眼见为实的上一句是什么","眼见为实的上一句是什么？",1
"万圣节送什么礼物给女朋友","万圣节给女朋友送什么",1
"苹果醋什么牌子好。","什么牌子的苹果醋好？",1
"酷狗和天天动听哪个更好用？","酷狗和天天动听哪个好",1
"亲爱滴是什么意思","称亲爱的是什么意思",1
"淘宝子账号密码怎么修改？","淘宝子账号怎么添加在网页上",0
"怎么修改百度知道的用户名？","百度知道要怎么改用户名？",1
"想提高英语成绩","怎么才能提高羽毛球技术",0
"伊利奶粉怎么积分？","伊利奶粉怎么积分",1
"学霸，帮忙！","是学霸的帮忙",1
"目前的智能安全防护体系已能够实时保护用户的账户和资金安全~","保险公司出具信用保证保险，对本次借款的应还本金和利息提供保险保障。",0
"这是哪部动漫的？","这是哪部电影…看图…",0
"您是什么提交的受理单","您订单类型选择理财订单",0
"余额宝怎么办理？","怎样办理余额宝？",1
"岑参是哪个朝代","岑参是哪个朝代的",1
"梦见自己与别人打架","梦见我和别人打架",1
"汪东城的老婆是谁汪","刘烨的老婆是谁",0
"女人吃什么最好","女人吃什么豆最好",0
"在家带小孩怎么赚钱","有什么工作适合在家带孩子做的",0
"开女装店，起名","如何给科技公司起名？",0
"微信上的好友删除了对方还有我的吗","微信我把一个好友删除以后的问题",0
"婴儿手推车多少钱婴儿手推车什么牌子好啊?","婴儿手推车多少钱婴儿手推车什么牌子好啊?谢谢啦",1
"外国诗人有哪些","都有哪些外国诗人写的诗好啊",0
"《饥荒》玩不了","玩魔道在优酷出视频",0
"我爷爷堂哥的儿子的女儿我应该叫什么","我表哥，堂哥的儿子或女儿叫我什么？",0
"怎么开通流量加油包","怎么开通流量加油包。",1
"带鱼上的白鳞可以吃吗？","带鱼的鳞能吃吗？",1
"济南的美容整形医院哪家做光子嫩肤最好？","深圳哪家美容医院的光子嫩肤效果好",0
"柳市镇哪里有手工活拿回家做的","义乌哪里有饰品手工活拿回家做",0
"捡肥皂是什么意思？","捡肥皂是什么意思",1
"马铃薯是土豆吗？","马铃薯就是土豆吗？",1
"这是什么品种的狗狗？","这是什么品种狗狗",1
"诚征中老年服装批发商","购买中老年服装",0
"您好，请问您是什么还款呢？","请问是忘记了安全保护问题答案是吗？",0
"谁知道谢娜和刘烨分手的真正原因呢?","刘烨和谢娜什么时候分手的",0
"福州哪里有旧照片翻新的店！","福州那里有旧照片翻新？",1
"我该怎么学会与人沟通?","内向的人怎么学会与别人沟通和交流",0
"栖的近义词怎么组词","鹰的近义词组词",0
"如何解除继父子关系","如何解除父子关系？",1
"猴子喜欢吃香蕉,狒狒喜欢不?","猴子为什么喜欢吃香蕉，为什么它不喜欢吃榴莲",0
"打雷对电脑有影响吗","打雷对电脑有影响么，",1
"这是什么。牌子的导航","这是什么牌子的导航？",1
"苹果手机怎么识别真假","怎么识别苹果手机真假",1
"睾丸炎药吃什么药","睾丸炎看什么科？",0
"天天酷跑那个角色最好用","天天酷跑角色哪个最好",1
"一般大家去哪个网站买书。","大家买书一般上哪个网站买？",1
"有好的可以瘦脸的方法吗？","淘宝上有什么好的茶叶可以买？",0
"能介绍一本好书吗？","怎样找一本好书",0
"您好，如没有的话是不支持的","是的，如果您的产品没有到期的话是需要收取手续费的",0
"梦见很多的桑椹是什么意思啊？","梦见很多大便还有很多鱼，请问是什么意思啊？",0
"吃什么才能美白呢","喝什么茶可以美白？",0
"姓蓝的是什么少数民族","有什么少数民族贴吧吗",0
"安卓手机有什么好玩的单机游戏","有什么好玩的手机安卓单机游戏",1
"帮忙起个店名吧！","帮忙起个店名吧～",1
"网易寻找懂球帝，这位主教练是谁？","寻找懂球帝，猜猜这名球员是谁",0
"姜潮有女朋友么》？","姜潮有女朋友么",1
"你们喜欢看什么电视剧呢？","你们最喜欢看什么电视剧",1
"好听的四个字名字","四个字好听的名字",1
"求百日蔷薇漫画","求百日蔷薇漫画【全】",0
"什么毒无色无味","什么毒无色无味…",1
"我的世界怎么刷石头","我的世界火石头怎么得",1
"需要您同意然后转接过去，您看可以吗","亲按照常理说你既然找回成功了可能是你输入的时候没有注意大小写的问题",0
"微博怎么赞话题","微博怎么刷话题",0
"电脑怎么玩天天酷跑","天天酷跑怎么玩不了",0
"超人和奥特曼谁厉害？","奥特曼和超人谁厉害",1
"有什么好看的打篮球电影？","有什么好看的篮球电影和好听的歌吗",1
"狗狗品种","狗狗的品种",1
"全国物理奥林匹克竞赛怎么参加","怎样自学高中物理，参加竞赛",0
"最近有什么好听的歌？","最近有什么好听的歌吗",1
"肾虚的女人吃什么","女人肾虚吃什么好",1
"羡慕的反义词是什么","求羡慕的反义词是什么",1
"哪个牌子的去黑头好?","哪个牌子去黑头的效果比较好",1
"怎么报复背叛我的男友?","怎么报复背叛自己的男友",1
"男属牛女属猴合适吗？","男属虎女属猴合吗？",0
"现在什么好赚钱吧？","现在敢什么事赚钱。",1
"杭州到成都有动车吗？","杭州有到成都的动车吗？",1
"百度账号能改名字吗","的昵称能改吗",0
"陈世美是什么生肖？","陈世美是指什么生肖",1
"毛孔大怎么收缩","怎么去收缩毛孔",1
"请问不是您的账户吗？","您好，请问您使用的邮箱类型是？",0
"推荐个手机游戏","手机游戏推荐",1
"剑灵为什么老是掉线","为什么我剑灵老是掉线",1
"微信为什么添加联系人失败？","为什么微信没有漂流瓶？",0
"您好，支付宝小二很高兴为您服务!","请说，小宝很高兴为您服务~<p></p>",1
"您好，目前支付宝只是您的这个第三方的付款的平台是不销售任何的产品的","很抱歉的亲，支付宝仅为付款平台，您拍下的话费是由淘宝卖家或运营商发货",0
"麻烦您优先操作一下的，辛苦您了。","麻烦您提供一下您的店铺的链接，帮您测试一下的，辛苦您了。",0
"日文怎么打？","问个日文怎么打",1
"福建林业职业技术学院的情况","福建林业职业技术学院美女？",0
"两个胖子结婚(打一城市)","两个胖子拥抱(打一地名)",0
"大家都用哪家转运公司","加盟哪个网店公司好呢",0
"手机电池充电太慢什么原因","手机充电慢，什么原因，怎么办",1
"爸爸去哪儿第三季的人有谁","爸爸去哪儿第三季",1
"从逸仙路安汾路怎么到大宁灵石公园","从五角场到大宁灵石公园怎么走？",0
"什么时候可以开始刮胡子？","当什么时候可以刮胡子",1
"杭州到云南旅游团哪个好","云南好？还是杭州好、",0
"慢性湿疹用什么药？","慢性湿疹吃什么药？",1
"网上兼职有什么","元旦有在西安找兼职的吗",0
"今年端午节如何放假","今年端午节怎么放假",1
"人情债怎么还","人情债怎么还？",1
"我不会唱歌是谁唱的","我不会唱歌怎么办",0
"贴吧里怎么设置头像","群头像怎么设置",0
"联合国最大的是谁？是联合国秘书长？","联合国秘书长潘基文是哪国人？具体的资料？",0
"请问这个头像叫什么？","请问，这个头像什么狗？",0
"郭德纲的新段子那些好","郭德纲的段子",0
"您好.您的情况必须让这个邮箱可以接受邮件才可以","您好.您的情况建议您使用更加稳定的阿里云邮箱即可以了.",0
"什么电视剧有黑社会片？","关于黑社会的电视剧叫什么？",1
"我的世界手机版存档怎么用","我的世界手机版谁能和我远程联机",0
"去美容院护肤好吗","到美容院做护肤其实好不好？",1
"桃子老师和四个学生发","桃子老师与四个学生",1
"怎样宣传自己的网店？","开网店怎样做宣传",1
"这是什么字？腈怎么组词","这是什么字？怎样组词？",1
"为什么我注册不了支付宝","为什么登陆不了淘宝",0
"江苏技术师范学院是要改名为华东科技大学吗？","江苏技术师范学院的住宿情况怎么样啊?",0
"奥比岛怎样帮精灵升级","奥比岛怎样能让小精灵升级形态",1
"双项淘宝客怎么做","如何才能在家兼职淘宝客服",0
"周杰伦和蔡依林分手是谁提出的？雅虎知识堂","蔡依林和周杰伦到底什么关系？",0
"木瓜怎么煮才好吃","木瓜怎么做好吃",1
"答案已知求过程","已知答案，求过程",1
"金毛和拉布拉多的区别","拉布拉多和金毛区别",1
"什么人只隔一夜就变老？","什么人只隔一夜就变老",1
"怎样运动减肥最快最有效","怎样减肥最快最有效运动",1
"搜一部关于恐龙的电影","关于恐龙的一部电影",1
"中国海洋大学图书馆的听力书,听力在哪","中国海洋大学浮山校区的图书馆藏书多吗？",0
"电灯是谁发明的啊","谁发明了电灯",1
"现在淘宝做什么好？","淘宝现在做什么好",1
"收集点室内设计国外的设计师网站","家纺设计国外资料网站",0
"男士手表什么品牌的好","男士手表什么品牌好",1
"这个发型，叫什么？怎么弄？","这个发型怎么弄，叫什么？",1
"安徽警官职业学院能否专升本","安徽警官职业学院怎么样？",0
"灰指甲挂什么科","咳嗽老不好，挂什么科",0
"借花献佛是什么意思","借佛献花是什么意思",0
"金立手机怎么截图？","如何学习好摩斯密码",0
"您设置了默认的付款方式了吗","您可以再服务窗搜花呗也可以的",0
"测试你的前世是什么?","测试一下你的前世是个什么人",1
"这张图是哪个动漫的？","求这张图的动漫！",1
"有儿子跟自己亲妈发生关系的吗？","你也和你儿子发生关系？",0
"这个游戏的名字是什么？","这个游戏名字叫什么",1
"人口密度怎么算？","人口密度是怎么算的",1
"世界上最大的岛屿是什么岛屿？","世界上最大的岛屿是哪个？",1
"淘宝上卖家发货了没收直接退回能申请退款吗","淘宝卖家24小时未发货，申请退款能成功吗？",0
"有谁在扬州租房？","广州花城广场有什么，怎么去。",0
"就叶子看，这是什么植物","这是什么植物的叶子",1
"联通卡可以用移动手机吗","联通3g手机能用移动卡吗",0
"王俊凯喜欢女生什么","王俊凯喜欢什么女生",1
"大家是否考虑去德国留学？","如何去德国留学?",0
"亚马逊好还是京东好","京东好还是亚马逊好？",1
"搜片神器怎么不可以用","搜片神器下载了怎么不能用",1
"伴郎穿什么","当伴郎穿什么？",1
"野蘑菇有毒吗？","这蘑菇有毒吗？",0
"怎么让我看清一个人","怎么看清一个人？",1
"小米手机怎么破解付费主题","小米主题怎么破解破解",1
"这个是什么字体的英文","这个英文字体叫什么",1
"24小时退款的","您截图4月6号到4月8号的收支明细给我，",0
"孕妇喝什么样酸奶好","新生儿喝奶粉该喝多少？",0
"能给我火影同人漫画吗","还有火影同人漫画吗",1
"单机游戏下载哪个网站好","下载单机游戏哪个网站好",1
"水浒传作者","火影作者死没",0
"喜事连连指什么生肖","喜事连连是什么生肖？",1
"石膏线是怎么安装的？","如何安装石膏线",1
"浙江有什么好玩的地方","浙江有什么好玩的地方？",1
"这是什么昆虫","这是什么小昆虫？",1
"联通卡怎么取消来电显示","联通卡怎样开通来电显示",0
"关于《我的世界》小地图","我的世界有这样的地图吗？",0
"怎么用手机遥控电视？","怎么用手机复制电视遥控器",1
"求《鬼畜眼镜》的漫画全集","求《鬼畜眼镜》漫画全集",1
"我的微信密码忘了怎么找的回来啊","微信密码忘了怎么找回来",1
"水粉颜料什么牌子好","水粉颜料什么牌子的好？",1
"在深圳哪里去找工作","在杭州找工作去那里找",0
"隐形眼镜正反面怎么区分阿？","隐形眼镜怎么区分正反面",1
"高铁和动车那个快？","高铁与动车的区别？",0
"我国四大发明有什么","我国的四大发明是什麽",1
"您是说的余额宝吗？","亲，您是说余额宝的吗？",1
"人流后能吃干桂圆吗","怀孕吃干桂圆好吗",0
"十二生肖有什么","十二生肖都是什么",1
"残阳是什么意思","残阳什么意思",1
"天下足球址是什么呢？","天下足球是哪儿啊？做什么的",0
"子宫附件彩超","子宫双附件",0
"用手机怎么打特殊符号","手机怎么才能打出特殊符号",1
"北京哪个眼科医院最好","中国哪个地方钱最好赚",0
"脖子上有痣代表什么","左脖子上有痣代表什么女的",1
"这样的青蛙有毒吗","青蛙有毒吗？",1
"八年级下册数学","八年级下册数学。",1
"英语该怎么读好","如何读好英语",1
"月经来的时候能喝茶吗？","吃中药了什么时候才可以怀孕",0
"姐妹头像、网名、个性签名","超拽超霸气不带字女生头像",0
"异地的银行卡怎么注销！","如何异地注销银行卡",1
"南宁有啥好玩的地方？","南宁有什么好玩的地方？",1
"是什么电影里的台词？","邓紫棋有一首歌，啊啊}是什么？",0
"不带字女生头像","女生头像不带字",1
"重庆哪里可以滑雪","重庆哪里能滑雪",1
"支付宝和网银一样吗","网银和支付宝一样吗",1
"上海大的装修公司","上海大计数据公司怎么样啊",0
"请大家帮忙这个电影是？","大家帮忙看下这是什么狗",0
"长寿花什么样的","长寿花什么样啊",0
"谁能告诉我这狗什么品种的。","谁能告诉我这条狗是什么品种啊",1
"安徽卫视当红不让的两个主持人叫什么?","谁知道安徽卫视那个女主持人的名字？",0
"麻烦您提供一下接受短信的手机号，辛苦您了","麻烦您提供一下您接受短信的手机号，辛苦您了",1
"稍等的，正在为您转接","辛苦您在线等待下的现在帮您转接的好吗？",1
"请问这是什么树的叶子啊？","请问这是什么木头手串，怎样？",0
"今天是什么日子，都在放鞭炮","今天是什么节日，这么多放鞭炮的",1
"这是什么手机游戏","这是什么手机游戏啊",1
"请您核实下您是否有其他的支付宝账户的，辛苦您了","您好，请您核实一下其他的账户是否有的。辛苦您了",1
"短发弄什么发型好","男的，短发能做什么发型呢？",0
"邮政快递怎么查询","怎么查询邮政快递",1
"这个头像大图","求这个头像大图！",1
"李小龙为什么那么厉害","李小龙那么瘦怎么那么厉害",0
"截然不同什么意思","截然不同的意思是什么",1
"求范冰冰的苹果完整版","求范冰冰苹果完整版？谁有",1
"怎么在网上找客户？","怎么在网上找资料？",0
"传统日本女人穿和服时穿什么样的内衣？","为什么日本女人穿的衣服后面都带一个枕头呢",0
"这是什么意思翻译一下","这是什么意思，翻译一下",1
"妈蛋是什么意思？","妈蛋什么意思",1
"我的世界钻石在哪里得。","坦克世界金币卡哪里买的",0
"求一款网页游戏！","找一款网页游戏",1
"哪里有卖货架我","哪里有卖货架的？",1
"现在最流行的玩具是什么？","现在流行什么玩具？",1
"这个兰花是什么品种？","这只兔兔是什么品种？",0
"燃气热水器多大合适","燃气热水器排名",0
"什么品牌布艺沙发好","什么品牌的裤子好穿",0
"为什么把乌龟叫王八？","请问：为什么王八是乌龟",1
"肾虚会掉头发吗？","肾虚会掉头发吗，",1
"刘德华的女儿叫什么名字啊","她叫什么名字，好喜欢她",0
"我的世界中文版下载","哪里可以下载我的世界中文版",0
"窥的形近字急急急","放烟花日记400字急急急！",0
"周杰伦什么时候结婚","周杰伦什么时候会结婚",1
"鼓舞意思是什么","鼓舞是什么意思",1
"世界上最难听的是什么歌？","世界上什么歌最难听？",1
"麻烦您提供您的姓名），辛苦您了，","请问您是在参加什么活动呢？麻烦您提供一下活动名称，辛苦您了",0
"榆林在哪个省？","榆林是哪个省的",1
"爱情保证书怎么写","爱情保证书怎么写？",1
"周杰伦会和蔡依林结婚嘛？","蔡依林和周杰伦能结婚吗？",1
"天天炫斗刷钻石是真的吗？","天天炫斗刷钻石那些是真得吗？",1
"网页回合制游戏","回合制网页游戏",1
"这是什么电视剧？！","猜你妹，这是什么电影？",0
"世界有神仙吗","世界有神仙吗？",1
"130***这个手机号是您的吗","137***这个手机号呢？",0
"可爱吗、宝宝","我宝宝可爱吗",1
"以虫治虫，治什么意思","以虫治虫的治是什么意思",1
"百度钱包怎么样？","百度钱包怎么样",1
"京东商城怎么付款","京东商城是怎样付款的？",1
"就是您绑定的银行卡","建议您解绑您的这张银行卡，再进行重新绑定。",0
"是我的淘宝里面可以查看到的哦","账单导入成功，可以在该信用卡还款页面点击该卡一栏查看邮箱账单明细；",0
"怎么在微信上制作连接","苹果手机怎么在微信上制作链接",1
"谁有这张图的高清大图？","这张图的高清大图",1
"哪里有正宗福建辣椒王","哪里卖正宗的福建辣椒王",1
"蓝牙耳机充电器多少钱？","苹果五原装耳机多少钱",0
"执意的意思是什么？","执意是什么意思？",1
"关于易语言进度条","易语言进度条。",1
"非常抱歉给您添麻烦了，您的这个是无法核实的，这里是不显示的","很抱歉.您的这个情况小二只能给您这个建议.给您添麻烦了.",0
"我是好人。","我想我是好人",1
"现在最流行的手机铃声是什么","现在流行什么手机铃声",1
"历代的联合国秘书长","联合国现任副秘书长",0
"电脑怎么录像？","怎么在电脑上录像",1
"移动怎么刷钻","生死狙击刷金币软件怎么用",0
"怎样让胡子长得更浓密","怎样让胡子长得浓密点！",1
"中国移动没信号","中国移动信号塔",0
"形容人吝啬的成语","最难做的饭—成语",0
"有哪些国家也过春节?","过春节的国家有哪些",1
"奔跑吧兄弟大电影为什么没有邓超？","为什么奔跑吧兄弟大电影，没有邓超",1
"中国首富是谁现在？","现在谁是中国首富？",1
"广东石油化工学院好不好","广东石油化工学院学校风景",0
"我怎样在百度上发帖","怎样在百度上发帖",1
"怎么看出自己是不是一个备胎","如何判断自己是否是她的备胎",1
"支付宝支付密码忘记怎么办？","支付宝支付密码忘记了",1
"屏幕分辨率不对，怎么调，","屏幕分辨率怎么调",1
