sentence1,sentence2,label
"有什么好看电视剧，韩国的？","有什么好看的韩国电视剧？",1
"求这个头像的高清大图","求这个头像的高清大图！",1
"摩托车买什么品牌的好","买什么品牌的摩托车又好又经济",1
"怎么死法不痛苦","怎么死法最不痛苦",1
"赛尔号勇者之塔41层怎么打","赛尔号勇者之塔70层怎么打",0
"一囤等于多少千克？","一平方等于多少吨？",0
"请问是您的朋友给您转账您没有收到，还是您朋友给您转账您没收到呢","请问您有没有联系您的家人或者朋友核实有没有登录您的账户操作交易？",0
"如何规划自己的人生","如何规划自己的人生？",1
"恩，这边给您推送查询一下是否有其他账户可以吗？","这边帮您推送一下，查询一下您是否有其他账户可以吗?",1
"录音笔什么牌子的好?","录音笔什么牌子音质好",1
"前列腺如何按摩","如何按摩前列腺？",1
"谁有周杰伦帅照片？","谁有周杰伦的照片",1
"时空猎人怎么找回帐号","时空猎人怎样找回帐号号",1
"广州天气怎么样","广州天气怎么样？",1
"用旧了的人民币怎么辨别真伪","现在的人民币怎么真伪辨别",0
"梦见自己丢手机","梦见手机被偷了",0
"我的世界手机板怎么去地狱","我的世界手机版怎么进地狱图",1
"爱情代表什么？","什么花代表爱情？",0
"您现在使用的手机号码开头是4位是多少的呢？","麻烦您输入后八位，手机型号、使用版本、无法登录的时间、账户号，",0
"增值税专用发票问题","关于增值税专用发票的问题",1
"我喜欢吃鼻屎怎么办","我喜欢吃鼻屎怎么办？",1
"香蕉怎么吃才好吃","炸香蕉怎么做好吃？",0
"这种图片叫什么图","这种图片要哪里搜",0
"电预约是什么意思","预约是什么意思",0
"冬季怎么搭配衣服好看","冬天短发怎么搭配衣服好看。",1
"喝黄豆豆浆拉的屎怎么臭","黄豆怎么做豆浆",0
"世界人口最多的国家","世界面积最小的大洲是：",0
"关于汪涵和杨乐乐","汪涵和杨乐乐",1
"您好，预约成功还是购买成功呢？","预约成功是无法取消的，可能在您的修改前同时已经预约成功了的",0
"这个表情叫什么？是哪个系列的？","这个表情是什么系列的",1
"炒菜什么时候放盐，才好吃","炒菜时盐在什么时候放入最好",1
"能给我霸王爱人的全集漫画吗？","求霸王爱人的漫画全集",1
"怎么才能死悄悄？","怎么才能不怕死",0
"欲穷千里目，更上一层楼。猜成语","猜成语欲穷千里目，更上一层楼",1
"为什么要说“人最大的敌人是自己”","人最大的敌人就是自己是谁说的急！",0
"这张照片上的人是谁","这张照片怎么样？",1
"怎么删除腾讯微博里照片？","腾讯微博里的照片怎么删除",1
"求逃脱等类似的小说","求类似于逃脱的小说",1
"上海都有哪什么论坛？人气比较高","上海哪个论坛的人气比较高？",1
"如何离线缓存","怎么离线缓存",1
"她是否真的爱你","真的是爱吗？",0
"爷爷奶奶与本人关系怎么写","爷爷奶奶与本人关系怎么填",1
"求解梦，梦见佛","求解梦：梦见蛇",0
"锌铜是什么材料","什么材料又轻又硬",0
"笑哭了的表情怎么弄","这个表情怎么弄出来",0
"免费网游加速器哪个好","网游加速器哪个好？免费的。",1
"无锡哪里好玩？","无锡哪里最好玩",1
"这双鞋子配什么裤子好看","这双鞋子配什么样的裤子好看",1
"求电视剧或小说","电视剧断刺有小说吗？",0
"不稀罕：是什么意思？","他对我说稀罕你是什么意思呀",0
"什么眼霜去细纹好？","什么眼霜去细纹好?",1
"什么脸型好看","我这什么脸型？哎！不好看呀！",0
"为什么我注册淘宝的账户是激活失败？","淘宝账户过期了我现在要激活怎么办？",0
"魔法禁书目录小说","《魔法禁书目录》小说",1
"小对联：孙行者","对对联：孙行者",1
"罪恶都市怎么出这个啊联机","罪恶都市联机怎么爆别人的胎",0
"维达宝奶粉怎样有谁喝过","酵素减肥有用吗？谁用过的",0
"腰部按摩器什么牌子好？","腰部按摩器什么牌子的好呢",1
"江苏城市职业学院那学校怎么样？南京校区的","江苏城市职业学院南京校区怎么样啊？",1
"有没有类似甄嬛的小说","有没有与诛仙类似的小说",0
